Total Nacional;Comunidades y Ciudades Autónomas;Clase de residuos;periodo;Total
Total Nacional;;Residuos mezclados;2021;360,7
Total Nacional;;Residuos mezclados;2020;352,2
Total Nacional;;Residuos mezclados;2019;379
Total Nacional;;Residuos mezclados;2018;391,3
Total Nacional;;Residuos mezclados;2017;392,7
Total Nacional;;Residuos mezclados;2016;382,2
Total Nacional;;Residuos mezclados;2015;382,5
Total Nacional;;Residuos mezclados;2014;377,4
Total Nacional;;Residuos mezclados;2013;383,2
Total Nacional;;Residuos mezclados;2012;391,6
Total Nacional;;Residuos mezclados;2011;401,7
Total Nacional;;Residuos mezclados;2010;416,5
Total Nacional;;Residuos de papel y cartón;2021;31,5
Total Nacional;;Residuos de papel y cartón;2020;28,3
Total Nacional;;Residuos de papel y cartón;2019;27,3
Total Nacional;;Residuos de papel y cartón;2018;22,8
Total Nacional;;Residuos de papel y cartón;2017;22,8
Total Nacional;;Residuos de papel y cartón;2016;21,7
Total Nacional;;Residuos de papel y cartón;2015;21,7
Total Nacional;;Residuos de papel y cartón;2014;21
Total Nacional;;Residuos de papel y cartón;2013;21,2
Total Nacional;;Residuos de papel y cartón;2012;23,2
Total Nacional;;Residuos de papel y cartón;2011;27,1
Total Nacional;;Residuos de papel y cartón;2010;31,5
Total Nacional;;Residuos de vidrio;2021;18,5
Total Nacional;;Residuos de vidrio;2020;17,5
Total Nacional;;Residuos de vidrio;2019;19,2
Total Nacional;;Residuos de vidrio;2018;17,9
Total Nacional;;Residuos de vidrio;2017;17,5
Total Nacional;;Residuos de vidrio;2016;16,3
Total Nacional;;Residuos de vidrio;2015;16,3
Total Nacional;;Residuos de vidrio;2014;15,8
Total Nacional;;Residuos de vidrio;2013;15,5
Total Nacional;;Residuos de vidrio;2012;15,7
Total Nacional;;Residuos de vidrio;2011;15,7
Total Nacional;;Residuos de vidrio;2010;17,3
Total Nacional;;Envases mixtos y embalajes mezclados;2021;18,8
Total Nacional;;Envases mixtos y embalajes mezclados;2020;18,7
Total Nacional;;Envases mixtos y embalajes mezclados;2019;17,6
Total Nacional;;Envases mixtos y embalajes mezclados;2018;15,9
Total Nacional;;Envases mixtos y embalajes mezclados;2017;14,2
Total Nacional;;Envases mixtos y embalajes mezclados;2016;12,8
Total Nacional;;Envases mixtos y embalajes mezclados;2015;12,8
Total Nacional;;Envases mixtos y embalajes mezclados;2014;12,2
Total Nacional;;Envases mixtos y embalajes mezclados;2013;12
Total Nacional;;Envases mixtos y embalajes mezclados;2012;13,7
Total Nacional;;Envases mixtos y embalajes mezclados;2011;14
