Tipo de gasto;Ámbito medioambiental;periodo;Total
INVERSIÓN;Total;2021;905.450.137
INVERSIÓN;Total;2020;613.830.529
INVERSIÓN;Total;2019;736.678.289
INVERSIÓN;Total;2018;619.556.406
INVERSIÓN;Total;2017;599.647.020
INVERSIÓN;Total;2016;638.410.585
INVERSIÓN;Total;2015;547.121.862
INVERSIÓN;Total;2014;554.282.095
INVERSIÓN;Total;2013;556.118.279
INVERSIÓN;Total;2012;624.045.715
INVERSIÓN;Total;2011;684.099.385
INVERSIÓN;Total;2010;764.944.964
INVERSIÓN;Total;2009;1.065.942.887
INVERSIÓN;Total;2008;1.533.797.410
INVERSIÓN;Protección del aire y el clima;2021;422.332.236
INVERSIÓN;Protección del aire y el clima;2020;325.676.751
INVERSIÓN;Protección del aire y el clima;2019;458.186.343
INVERSIÓN;Protección del aire y el clima;2018;381.387.633
INVERSIÓN;Protección del aire y el clima;2017;371.280.707
INVERSIÓN;Protección del aire y el clima;2016;428.508.605
INVERSIÓN;Protección del aire y el clima;2015;319.995.704
INVERSIÓN;Protección del aire y el clima;2014;295.034.237
INVERSIÓN;Protección del aire y el clima;2013;266.633.908
INVERSIÓN;Protección del aire y el clima;2012;240.685.579
INVERSIÓN;Protección del aire y el clima;2011;274.430.745
INVERSIÓN;Protección del aire y el clima;2010;339.875.465
INVERSIÓN;Protección del aire y el clima;2009;542.978.584
INVERSIÓN;Protección del aire y el clima;2008;823.973.603
INVERSIÓN;Gestión de aguas residuales;2021;119.658.926
INVERSIÓN;Gestión de aguas residuales;2020;73.596.324
INVERSIÓN;Gestión de aguas residuales;2019;90.399.659
INVERSIÓN;Gestión de aguas residuales;2018;77.969.869
INVERSIÓN;Gestión de aguas residuales;2017;93.628.343
INVERSIÓN;Gestión de aguas residuales;2016;63.491.164
INVERSIÓN;Gestión de aguas residuales;2015;69.761.921
INVERSIÓN;Gestión de aguas residuales;2014;81.416.638
INVERSIÓN;Gestión de aguas residuales;2013;113.238.488
INVERSIÓN;Gestión de aguas residuales;2012;126.180.609
INVERSIÓN;Gestión de aguas residuales;2011;173.383.145
INVERSIÓN;Gestión de aguas residuales;2010;173.148.577
INVERSIÓN;Gestión de aguas residuales;2009;194.741.587
INVERSIÓN;Gestión de aguas residuales;2008;236.532.332
INVERSIÓN;Gestión de residuos;2021;97.471.701
INVERSIÓN;Gestión de residuos;2020;72.979.401
INVERSIÓN;Gestión de residuos;2019;67.488.377
INVERSIÓN;Gestión de residuos;2018;61.777.744
INVERSIÓN;Gestión de residuos;2017;34.287.953
INVERSIÓN;Gestión de residuos;2016;36.696.397
