Tipo de equipo e instalación;Ámbito medioambiental;Agrupación de actividad económica;periodo;Total
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;B. Industrias extractivas;2021;927.101
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;B. Industrias extractivas;2020;2.900.833
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;B. Industrias extractivas;2019;15.192.490
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;B. Industrias extractivas;2018;8.139.365
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;B. Industrias extractivas;2017;6.351.648
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;B. Industrias extractivas;2016;3.603.646
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;B. Industrias extractivas;2015;8.786.019
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;B. Industrias extractivas;2014;12.016.299
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;B. Industrias extractivas;2013;6.250.576
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;B. Industrias extractivas;2012;13.551.834
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;B. Industrias extractivas;2011;8.380.648
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;B. Industrias extractivas;2010;22.135.323
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;B. Industrias extractivas;2009;24.953.711
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;B. Industrias extractivas;2008;42.781.200
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C. Industria manufacturera;2021;144.387.482
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C. Industria manufacturera;2020;109.727.889
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C. Industria manufacturera;2019;148.271.170
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C. Industria manufacturera;2018;116.326.264
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C. Industria manufacturera;2017;144.983.043
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C. Industria manufacturera;2016;140.996.962
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C. Industria manufacturera;2015;114.581.567
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C. Industria manufacturera;2014;107.673.765
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C. Industria manufacturera;2013;146.397.379
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C. Industria manufacturera;2012;170.692.573
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C. Industria manufacturera;2011;190.758.786
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C. Industria manufacturera;2010;222.354.855
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C. Industria manufacturera;2009;289.027.888
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C. Industria manufacturera;2008;406.814.961
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2021;39.238.728
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2020;14.276.070
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2019;19.619.170
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2018;20.980.190
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2017;28.638.871
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2016;25.879.619
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2015;12.697.579
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2014;21.797.053
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2013;20.903.577
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2012;26.825.135
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2011;37.331.130
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2010;41.326.736
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2009;57.734.981
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C10-11-12. Industria de la alimentaci.on bebidas y tabaco;2008;59.767.986
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C13-14-15. Industria textil de la confección del cuero y del calzado;2021;2.960.550
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C13-14-15. Industria textil de la confección del cuero y del calzado;2020;1.087.328
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C13-14-15. Industria textil de la confección del cuero y del calzado;2019;1.695.050
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C13-14-15. Industria textil de la confección del cuero y del calzado;2018;381.629
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C13-14-15. Industria textil de la confección del cuero y del calzado;2017;939.434
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C13-14-15. Industria textil de la confección del cuero y del calzado;2016;801.759
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C13-14-15. Industria textil de la confección del cuero y del calzado;2015;3.012.839
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C13-14-15. Industria textil de la confección del cuero y del calzado;2014;849.723
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C13-14-15. Industria textil de la confección del cuero y del calzado;2013;583.969
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C13-14-15. Industria textil de la confección del cuero y del calzado;2012;608.657
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C13-14-15. Industria textil de la confección del cuero y del calzado;2011;1.717.117
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C13-14-15. Industria textil de la confección del cuero y del calzado;2010;1.635.722
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C13-14-15. Industria textil de la confección del cuero y del calzado;2009;1.405.154
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C13-14-15. Industria textil de la confección del cuero y del calzado;2008;4.384.353
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C16. Industria de la madera y del corcho;2021;3.896.307
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C16. Industria de la madera y del corcho;2020;2.971.397
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C16. Industria de la madera y del corcho;2019;5.316.522
