Sectores de actividad económica agregados;Categoría de residuos (CER-Stat) agregada;Peligrosidad;año;Total
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;No peligrosos;2021;6.760,30
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;No peligrosos;2020;6.796,60
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;No peligrosos;2019;6.268,00
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;No peligrosos;2018;6.836,90
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;No peligrosos;2017;5.657,00
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;No peligrosos;2016;6.604,00
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;No peligrosos;2015;6.193,70
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;Peligrosos;2021;25.884,90
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;Peligrosos;2020;26.029,40
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;Peligrosos;2019;23.817,80
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;Peligrosos;2018;25.983,50
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;Peligrosos;2017;21.088,40
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;Peligrosos;2016;25.502,40
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;Peligrosos;2015;23.617,90
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;Total;2021;32.645,20
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;Total;2020;32.826,00
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;Total;2019;30.085,80
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;Total;2018;32.820,40
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;Total;2017;26.745,40
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;Total;2016;32.106,40
A: Agricultura ganadería silvicultura y pesca;(01-03): Químicos;Total;2015;29.811,60
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;No peligrosos;2021;9.003,60
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;No peligrosos;2020;8.993,70
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;No peligrosos;2019;8.633,50
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;No peligrosos;2018;8.939,70
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;No peligrosos;2017;6.411,40
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;No peligrosos;2016;8.857,90
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;No peligrosos;2015;8.459,90
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;Peligrosos;2021;..
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;Peligrosos;2020;..
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;Peligrosos;2019;..
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;Peligrosos;2018;..
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;Peligrosos;2017;..
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;Peligrosos;2016;..
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;Peligrosos;2015;..
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;Total;2021;9.003,60
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;Total;2020;8.993,70
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;Total;2019;8.633,50
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;Total;2018;8.939,70
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;Total;2017;6.411,40
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;Total;2016;8.857,90
A: Agricultura ganadería silvicultura y pesca;(06): Metálicos;Total;2015;8.459,90
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;No peligrosos;2021;1.201,10
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;No peligrosos;2020;1.214,00
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;No peligrosos;2019;1.110,80
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;No peligrosos;2018;1.257,80
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;No peligrosos;2017;1.085,20
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;No peligrosos;2016;1.159,70
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;No peligrosos;2015;1.112,20
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;Peligrosos;2021;6,7
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;Peligrosos;2020;6,7
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;Peligrosos;2019;6,7
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;Peligrosos;2018;6,6
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;Peligrosos;2017;6,6
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;Peligrosos;2016;6,7
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;Peligrosos;2015;6,7
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;Total;2021;1.207,80
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;Total;2020;1.220,70
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;Total;2019;1.117,40
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;Total;2018;1.264,40
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;Total;2017;1.091,80
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;Total;2016;1.166,40
A: Agricultura ganadería silvicultura y pesca;(07.1): Vidrio;Total;2015;1.118,90
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;No peligrosos;2021;14.450,80
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;No peligrosos;2020;14.464,30
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;No peligrosos;2019;13.721,40
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;No peligrosos;2018;14.344,40
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;No peligrosos;2017;12.952,00
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;No peligrosos;2016;14.247,90
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;No peligrosos;2015;13.600,80
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;Peligrosos;2021;..
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;Peligrosos;2020;..
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;Peligrosos;2019;..
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;Peligrosos;2018;..
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;Peligrosos;2017;..
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;Peligrosos;2016;..
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;Peligrosos;2015;..
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;Total;2021;14.450,80
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;Total;2020;14.464,30
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;Total;2019;13.721,40
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;Total;2018;14.344,40
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;Total;2017;12.952,00
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;Total;2016;14.247,90
A: Agricultura ganadería silvicultura y pesca;(07.2): Papel y Cartón;Total;2015;13.600,80
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;No peligrosos;2021;39.610,90
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;No peligrosos;2020;39.897,60
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;No peligrosos;2019;35.968,90
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;No peligrosos;2018;39.957,00
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;No peligrosos;2017;33.963,80
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;No peligrosos;2016;38.535,50
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;No peligrosos;2015;35.399,70
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;Peligrosos;2021;..
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;Peligrosos;2020;..
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;Peligrosos;2019;..
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;Peligrosos;2018;..
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;Peligrosos;2017;..
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;Peligrosos;2016;..
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;Peligrosos;2015;..
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;Total;2021;39.610,90
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;Total;2020;39.897,60
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;Total;2019;35.968,90
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;Total;2018;39.957,00
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;Total;2017;33.963,80
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;Total;2016;38.535,50
A: Agricultura ganadería silvicultura y pesca;(07.4): Plásticos;Total;2015;35.399,70
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;No peligrosos;2021;22.018,90
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;No peligrosos;2020;20.316,70
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;No peligrosos;2019;21.279,50
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;No peligrosos;2018;20.197,80
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;No peligrosos;2017;19.388,00
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;No peligrosos;2016;19.900,20
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;No peligrosos;2015;19.551,10
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;Peligrosos;2021;1,8
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;Peligrosos;2020;1,9
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;Peligrosos;2019;1,6
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;Peligrosos;2018;2
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;Peligrosos;2017;1,6
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;Peligrosos;2016;1,7
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;Peligrosos;2015;1,6
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;Total;2021;22.020,70
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;Total;2020;20.318,60
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;Total;2019;21.281,10
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;Total;2018;20.199,80
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;Total;2017;19.389,60
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;Total;2016;19.901,90
A: Agricultura ganadería silvicultura y pesca;(07.5): Madera;Total;2015;19.552,70
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;No peligrosos;2021;6.861,20
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;No peligrosos;2020;6.865,10
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;No peligrosos;2019;6.596,70
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;No peligrosos;2018;6.862,10
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;No peligrosos;2017;5.525,40
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;No peligrosos;2016;6.812,90
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;No peligrosos;2015;6.545,10
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Peligrosos;2021;846,5
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Peligrosos;2020;849,4
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Peligrosos;2019;779,8
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Peligrosos;2018;845,7
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Peligrosos;2017;707,9
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Peligrosos;2016;834,3
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Peligrosos;2015;772,5
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Total;2021;7.707,70
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Total;2020;7.714,60
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Total;2019;7.376,50
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Total;2018;7.707,80
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Total;2017;6.233,30
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Total;2016;7.647,20
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Total;2015;7.317,60
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;No peligrosos;2021;5.792.342,30
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;No peligrosos;2020;5.778.781,20
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;No peligrosos;2019;5.683.985,70
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;No peligrosos;2018;5.718.372,80
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;No peligrosos;2017;5.594.171,50
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;No peligrosos;2016;5.730.082,30
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;No peligrosos;2015;5.679.812,20
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Peligrosos;2021;..
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Peligrosos;2020;..
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Peligrosos;2019;..
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Peligrosos;2018;..
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Peligrosos;2017;..
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Peligrosos;2016;..
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Peligrosos;2015;..
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Total;2021;5.792.342,30
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Total;2020;5.778.781,20
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Total;2019;5.683.985,70
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Total;2018;5.718.372,80
