Tipo de indicador;Ámbito de protección ambiental;periodo;Total
Gasto;TOTAL;2022 (avance);24.812,60
Gasto;TOTAL;2021;21.382,40
Gasto;TOTAL;2020;19.324,60
Gasto;TOTAL;2019;19.626,80
Gasto;TOTAL;2018;19.532,80
Gasto;TOTAL;2017;18.508,70
Gasto;TOTAL;2016;17.011,40
Gasto;TOTAL;2015;16.914,10
Gasto;TOTAL;2014;16.307,10
Gasto;TOTAL;2013;16.490,70
Gasto;TOTAL;2012;16.700,30
Gasto;TOTAL;2011;17.642,80
Gasto;TOTAL;2010;18.661,10
Gasto;Gestión de las aguas residuales;2022 (avance);4.676,70
Gasto;Gestión de las aguas residuales;2021;3.942,10
Gasto;Gestión de las aguas residuales;2020;3.555,50
Gasto;Gestión de las aguas residuales;2019;3.566,70
Gasto;Gestión de las aguas residuales;2018;3.480,80
Gasto;Gestión de las aguas residuales;2017;3.440
Gasto;Gestión de las aguas residuales;2016;3.333,30
Gasto;Gestión de las aguas residuales;2015;3.423,50
Gasto;Gestión de las aguas residuales;2014;3.153,60
Gasto;Gestión de las aguas residuales;2013;3.295,90
Gasto;Gestión de las aguas residuales;2012;2.947,90
Gasto;Gestión de las aguas residuales;2011;3.020
Gasto;Gestión de las aguas residuales;2010;3.922,80
Gasto;Gestión de residuos;2022 (avance);15.464,90
Gasto;Gestión de residuos;2021;13.333,90
Gasto;Gestión de residuos;2020;12.256,90
Gasto;Gestión de residuos;2019;12.437
Gasto;Gestión de residuos;2018;12.513,50
Gasto;Gestión de residuos;2017;11.570,80
Gasto;Gestión de residuos;2016;10.351,80
Gasto;Gestión de residuos;2015;10.203,10
Gasto;Gestión de residuos;2014;9.779,30
Gasto;Gestión de residuos;2013;9.828,40
Gasto;Gestión de residuos;2012;10.020,80
Gasto;Gestión de residuos;2011;9.934,20
Gasto;Gestión de residuos;2010;10.259,50
Gasto;Protección de la biodiversidad y el paisaje;2022 (avance);1.168,30
Gasto;Protección de la biodiversidad y el paisaje;2021;1.049,90
Gasto;Protección de la biodiversidad y el paisaje;2020;864,4
Gasto;Protección de la biodiversidad y el paisaje;2019;851,6
Gasto;Protección de la biodiversidad y el paisaje;2018;923,5
Gasto;Protección de la biodiversidad y el paisaje;2017;952,8
Gasto;Protección de la biodiversidad y el paisaje;2016;932,6
Gasto;Protección de la biodiversidad y el paisaje;2015;960,6
Gasto;Protección de la biodiversidad y el paisaje;2014;1.016,80
Gasto;Protección de la biodiversidad y el paisaje;2013;1.002,60
Gasto;Protección de la biodiversidad y el paisaje;2012;1.200,10
Gasto;Protección de la biodiversidad y el paisaje;2011;1.558,30
Gasto;Protección de la biodiversidad y el paisaje;2010;1.800,40
Gasto;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2022 (avance);2.205,10
