geo,TIME_PERIOD,tasa reciclaje %,country,residuos_kg_hab
AL,2020,18.1,Albania,369
AL,2021,18.7,Albania,311
AL,2022,18.9,Albania,295
AT,2000,63.4,Austria,580
AT,2001,64.3,Austria,576
AT,2002,62.5,Austria,608
AT,2003,64.2,Austria,607
AT,2004,57.4,Austria,574
AT,2005,58.3,Austria,575
AT,2006,59.2,Austria,597
AT,2007,60.2,Austria,597
AT,2008,63.2,Austria,600
AT,2009,61.9,Austria,590
AT,2010,59.4,Austria,562
AT,2011,56.7,Austria,573
AT,2012,57.7,Austria,579
AT,2013,57.7,Austria,578
AT,2014,56.3,Austria,565
AT,2015,56.9,Austria,560
AT,2016,57.6,Austria,564
AT,2017,57.8,Austria,570
AT,2018,57.7,Austria,579
AT,2019,58.2,Austria,588
AT,2020,62.3,Austria,834
AT,2021,62.5,Austria,835
BA,2008,0.0,Bosnia and Herzegovina,356
BA,2009,0.0,Bosnia and Herzegovina,354
BA,2010,0.0,Bosnia and Herzegovina,332
BA,2011,0.0,Bosnia and Herzegovina,340
BA,2012,0.0,Bosnia and Herzegovina,340
BA,2013,0.0,Bosnia and Herzegovina,311
BA,2014,0.0,Bosnia and Herzegovina,349
BA,2015,0.0,Bosnia and Herzegovina,340
BA,2016,0.0,Bosnia and Herzegovina,354
BA,2017,0.0,Bosnia and Herzegovina,352
BE,2000,49.7,Belgium,471
BE,2001,50.4,Belgium,467
BE,2002,51.5,Belgium,482
BE,2003,52.9,Belgium,465
BE,2004,53.5,Belgium,485
BE,2005,55.6,Belgium,482
BE,2006,56.1,Belgium,485
BE,2007,56.8,Belgium,493
BE,2008,52.7,Belgium,480
BE,2009,53.9,Belgium,467
BE,2010,54.8,Belgium,456
BE,2011,54.4,Belgium,455
BE,2012,53.4,Belgium,445
BE,2013,52.8,Belgium,436
BE,2014,53.8,Belgium,425
BE,2015,53.5,Belgium,412
BE,2016,53.5,Belgium,419
BE,2017,53.9,Belgium,411
BE,2018,54.4,Belgium,409
BE,2019,54.7,Belgium,416
BE,2020,51.4,Belgium,729
BE,2021,55.5,Belgium,755
BE,2022,52.7,Belgium,677
BG,2000,15.5,Bulgaria,612
BG,2001,16.1,Bulgaria,596
BG,2002,16.3,Bulgaria,602
BG,2003,16.5,Bulgaria,603
BG,2004,17.2,Bulgaria,599
BG,2005,18.3,Bulgaria,588
BG,2006,19.1,Bulgaria,577
BG,2007,20.6,Bulgaria,553
BG,2008,19.4,Bulgaria,599
BG,2009,19.9,Bulgaria,598
BG,2010,24.5,Bulgaria,554
BG,2011,26.2,Bulgaria,508
BG,2012,25.0,Bulgaria,460
BG,2013,28.5,Bulgaria,432
BG,2014,23.1,Bulgaria,442
BG,2015,29.4,Bulgaria,419
BG,2016,31.8,Bulgaria,404
BG,2017,34.6,Bulgaria,435
BG,2018,31.5,Bulgaria,407
BG,2019,34.6,Bulgaria,442
BG,2020,35.2,Bulgaria,408
BG,2021,28.2,Bulgaria,445
CH,2000,45.3,Switzerland,659
CH,2001,46.6,Switzerland,663
CH,2002,46.7,Switzerland,678
CH,2003,47.5,Switzerland,670
CH,2004,48.7,Switzerland,663
CH,2005,50.6,Switzerland,664
CH,2006,50.1,Switzerland,712
CH,2007,51.0,Switzerland,724
CH,2008,49.9,Switzerland,739
CH,2009,51.3,Switzerland,705
CH,2010,50.5,Switzerland,711
CH,2011,50.1,Switzerland,692
CH,2012,50.0,Switzerland,697
CH,2013,51.0,Switzerland,706
CH,2014,53.5,Switzerland,733
CH,2015,52.7,Switzerland,728
CH,2016,52.5,Switzerland,723
CH,2017,52.5,Switzerland,709
CH,2018,52.5,Switzerland,706
CH,2019,53.0,Switzerland,709
CH,2020,52.8,Switzerland,706
CH,2021,53.3,Switzerland,704
CH,2022,52.2,Switzerland,677
CY,2000,3.0,Cyprus,628
CY,2001,3.1,Cyprus,650
CY,2002,3.2,Cyprus,655
CY,2003,3.1,Cyprus,670
CY,2004,3.2,Cyprus,684
CY,2005,3.7,Cyprus,688
CY,2006,4.4,Cyprus,695
CY,2007,5.2,Cyprus,704
CY,2008,7.5,Cyprus,729
CY,2009,8.3,Cyprus,729
CY,2010,11.2,Cyprus,711
CY,2011,11.2,Cyprus,692
CY,2012,12.8,Cyprus,681
CY,2013,13.9,Cyprus,635
CY,2014,14.8,Cyprus,619
