;Rótulos de columna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;Total Promedio de tasa reciclaje %;Total Promedio de residuos_kg_hab
Rótulos de fila;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;;
Albania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,1;369;18,7;311;18,9;295;18,56666667;325
Austria;63,4;580;64,3;576;62,5;608;64,2;607;57,4;574;58,3;575;59,2;597;60,2;597;63,2;600;61,9;590;59,4;562;56,7;573;57,7;579;57,7;578;56,3;565;56,9;560;57,6;564;57,8;570;57,7;579;58,2;588;62,3;834;62,5;835;;;59,79090909;604,1363636
Belgium;49,7;471;50,4;467;51,5;482;52,9;465;53,5;485;55,6;482;56,1;485;56,8;493;52,7;480;53,9;467;54,8;456;54,4;455;53,4;445;52,8;436;53,8;425;53,5;412;53,5;419;53,9;411;54,4;409;54,7;416;51,4;729;55,5;755;52,7;677;53,56086957;487,9130435
Bosnia and Herzegovina;;;;;;;;;;;;;;;;;0;356;0;354;0;332;0;340;0;340;0;311;0;349;0;340;0;354;0;352;;;;;;;;;;;0;342,8
Bulgaria;15,5;612;16,1;596;16,3;602;16,5;603;17,2;599;18,3;588;19,1;577;20,6;553;19,4;599;19,9;598;24,5;554;26,2;508;25;460;28,5;432;23,1;442;29,4;419;31,8;404;34,6;435;31,5;407;34,6;442;35,2;408;28,2;445;;;24,15909091;512,8636364
Croatia;;;;;;;;;;;;;;;3,2;399;2,7;415;2,4;405;4,1;379;8,3;384;14,7;391;14,9;404;16,4;387;18;393;21;403;23,6;416;25,3;432;30,2;445;29,5;418;31,4;447;34,2;478;17,49375;412,25
Cyprus;3;628;3,1;650;3,2;655;3,1;670;3,2;684;3,7;688;4,4;695;5,2;704;7,5;729;8,3;729;11,2;711;11,2;692;12,8;681;13,9;635;14,8;619;16,7;637;16,3;649;16,5;642;16,8;662;16,9;664;17;625;14;650;14,8;673;10,33043478;668,3478261
Czechia;0,9;335;0,9;274;0,9;279;0,9;280;5,5;279;6,2;289;7,4;297;10,1;294;10,4;306;12,4;317;15,8;318;16,9;320;23,2;308;24,2;307;25,4;310;29,7;316;33,6;339;32,1;489;32,2;494;33,3;500;40,5;543;43,3;570;;;18,44545455;352,9090909
Denmark;37,1;664;36,1;657;37,6;664;40,9;671;41;695;41;736;41,8;740;44,2;790;47,9;830;48,8;762;;;42,4;862;42,5;806;43,3;813;45,4;808;47,4;822;48,3;830;47,6;820;49,9;814;51,5;844;45;814;57,6;769;52,3;787;44,98181818;772,6363636
