iter	Passed	Remaining
0	43	43955
1	78	39227
2	110	36861
3	181	45222
4	339	67549
5	519	86115
6	608	86370
7	662	82090
8	704	77595
9	744	73708
10	791	71173
11	829	68313
12	883	67087
13	939	66148
14	991	65078
15	1124	69164
16	1311	75818
17	1354	73898
18	1400	72296
19	1439	70525
20	1581	73721
21	1617	71922
22	1658	70439
23	1684	68519
24	1718	67028
25	1745	65388
26	1779	64129
27	1816	63071
28	1846	61835
29	1875	60636
30	1898	59348
31	1928	58323
32	1958	57399
33	1984	56370
34	2010	55422
35	2039	54601
36	2072	53928
37	2103	53241
38	2128	52437
39	2158	51799
40	2224	52037
41	2271	51802
42	2326	51769
43	2362	51328
44	2395	50844
45	2429	50380
46	2457	49824
47	2491	49409
48	2524	48987
49	2557	48601
50	2589	48178
51	2621	47791
52	2653	47418
53	2691	47152
54	2715	46657
55	2741	46222
56	2766	45773
57	2790	45321
58	2822	45018
59	2847	44604
60	2874	44252
61	2920	44180
62	2971	44196
63	3004	43945
64	3040	43739
65	3091	43742
66	3158	43982
67	3261	44700
68	3362	45375
69	3464	46033
70	3579	46831
71	3629	46775
72	3679	46726
73	3727	46649
74	3778	46601
75	3824	46493
76	3877	46474
77	3923	46372
78	3968	46269
79	4019	46223
80	4062	46095
81	4106	45968
82	4150	45859
83	4246	46309
84	4323	46541
85	4371	46460
86	4423	46426
87	4468	46309
88	4512	46188
89	4568	46189
90	4630	46258
91	4687	46259
92	4731	46144
93	4783	46100
94	4932	46983
95	5411	50961
96	5599	52126
97	5646	51972
98	5679	51684
99	5713	51425
100	5747	51159
101	5777	50862
102	5809	50592
103	5843	50343
104	5878	50110
105	5913	49871
106	5944	49610
107	5980	49391
108	6003	49077
109	6035	48829
110	6075	48654
111	6102	48382
112	6132	48133
113	6166	47927
114	6198	47704
115	6229	47476
116	6271	47331
117	6302	47109
118	6334	46895
119	6361	46647
120	6400	46499
121	6437	46331
122	6482	46223
123	6513	46013
124	6546	45827
125	6577	45627
126	6604	45397
127	6631	45180
128	6665	45007
129	6703	44864
130	6753	44800
131	6795	44682
132	6972	45450
133	7052	45579
134	7102	45509
135	7274	46214
136	7370	46427
137	7437	46459
138	7467	46256
139	7500	46071
140	7535	45907
141	7560	45680
142	7592	45501
143	7625	45331
144	7658	45156
145	7685	44953
146	7716	44778
147	7753	44632
148	7785	44468
149	7829	44369
150	7873	44269
151	7938	44289
152	7983	44196
153	8014	44025
154	8048	43876
155	8079	43712
156	8111	43553
157	8137	43363
158	8174	43236
159	8209	43098
160	8235	42915
161	8265	42756
162	8297	42609
163	8330	42463
164	8361	42314
165	8385	42130
166	8415	41974
167	8446	41832
168	8477	41685
169	8505	41529
170	8536	41384
171	8563	41224
172	8593	41081
173	8621	40925
174	8651	40784
175	8683	40654
176	8720	40547
177	8758	40447
178	8793	40333
179	8827	40214
180	8856	40076
181	8893	39973
182	8930	39870
183	8961	39741
184	8991	39609
185	9015	39454
186	9056	39372
187	9091	39269
188	9116	39119
189	9148	39002
190	9182	38892
191	9211	38764
192	9244	38653
193	9276	38538
194	9305	38413
195	9333	38285
196	9354	38129
197	9376	37979
198	9407	37865
199	9441	37766
200	9470	37647
201	9495	37513
202	9523	37392
203	9558	37296
204	9598	37222
205	9635	37139
206	9658	37001
207	9689	36894
208	9717	36779
209	9747	36670
210	9774	36549
211	9805	36448
212	9837	36349
213	9866	36236
214	9914	36200
215	9954	36131
216	9984	36027
217	10016	35929
218	10044	35822
219	10071	35709
220	10106	35624
221	10137	35527
222	10165	35418
223	10197	35328
224	10233	35250
225	10298	35270
226	10353	35256
227	10402	35223
228	10452	35190
229	10528	35246
230	10582	35228
231	10610	35125
232	10639	35024
233	10676	34949
234	10708	34859
235	10762	34840
236	10844	34911
237	10927	34987
238	11005	35041
239	11059	35022
240	11141	35089
241	11202	35090
242	11286	35159
243	11367	35219
244	11469	35345
245	11544	35385
246	11677	35598
247	11742	35607
248	11805	35607
249	11870	35612
250	11915	35555
251	12000	35620
252	12046	35568
253	12095	35525
254	12136	35456
255	12192	35433
256	12237	35379
257	12292	35352
258	12499	35762
259	12544	35703
260	12590	35648
261	12934	36433
262	13352	37416
263	13394	37343
264	13425	37238
265	13462	37148
266	13498	37057
267	13549	37009
268	13608	36980
269	13646	36896
270	13689	36825
271	13727	36742
272	13773	36679
273	13820	36619
274	13860	36541
275	13917	36509
276	13962	36444
277	14007	36378
278	14070	36360
279	14117	36301
280	14157	36225
281	14198	36150
282	14232	36058
283	14263	35960
284	14298	35870
285	14342	35806
286	14399	35773
287	14472	35779
288	14513	35705
289	14550	35624
290	14588	35543
291	14621	35452
292	14663	35381
293	14695	35289
294	14734	35212
295	14781	35155
296	14818	35075
297	14860	35007
298	14902	34938
299	14941	34863
300	14982	34792
301	15019	34712
302	15047	34613
303	15083	34534
304	15112	34437
305	15139	34336
306	15163	34228
307	15202	34155
308	15230	34059
309	15254	33954
310	15291	33878
311	15318	33778
312	15350	33692
313	15379	33600
314	15411	33513
315	15451	33445
316	15480	33354
317	15504	33251
318	15534	33163
319	15564	33074
320	15599	32996
321	15629	32909
322	15659	32822
323	15690	32737
324	15719	32649
325	15753	32571
326	15784	32486
327	15814	32400
328	15836	32299
329	15864	32210
330	15891	32119
331	15919	32031
332	15947	31943
333	15976	31857
334	16009	31779
335	16034	31686
336	16061	31599
337	16095	31523
338	16130	31451
339	16157	31365
340	16184	31278
341	16210	31187
342	16240	31108
343	16269	31026
344	16304	30954
345	16332	30871
346	16362	30790
347	16389	30707
348	16426	30640
349	16466	30580
350	16510	30527
351	16540	30449
352	16573	30376
353	16614	30318
354	16658	30267
355	16700	30211
356	16731	30135
357	16775	30084
358	16812	30018
359	16850	29956
360	16884	29886
361	16917	29815
362	16959	29760
363	16998	29701
364	17044	29652
365	17080	29586
366	17119	29527
367	17160	29471
368	17197	29407
369	17230	29338
370	17265	29272
371	17306	29216
372	17349	29164
373	17388	29105
374	17426	29043
375	17464	28983
376	17507	28930
377	17544	28869
378	17580	28806
379	17613	28737
380	17642	28663
381	17674	28593
382	17701	28516
383	17726	28435
384	17755	28361
385	17785	28290
386	17810	28211
387	17837	28135
388	17867	28065
389	17894	27989
390	17922	27915
391	17952	27844
392	17979	27769
393	18007	27696
394	18037	27627
395	18067	27557
396	18100	27492
397	18139	27436
398	18171	27371
399	18206	27309
400	18248	27259
401	18271	27180
402	18305	27116
403	18347	27067
404	18376	26997
405	18404	26926
406	18437	26863
407	18463	26790
408	18493	26723
409	18520	26651
410	18550	26584
411	18581	26519
412	18608	26448
413	18638	26381
414	18670	26319
415	18701	26253
416	18737	26196
417	18773	26139
418	18803	26073
419	18829	26002
420	18869	25951
421	18900	25886
422	18928	25819
423	18956	25752
424	18990	25692
425	19022	25631
426	19053	25568
427	19084	25505
428	19113	25440
429	19149	25383
430	19185	25328
431	19212	25260
432	19240	25194
433	19265	25125
434	19300	25068
435	19332	25008
436	19363	24946
437	19397	24889
438	19437	24839
439	19466	24776
440	19493	24710
441	19524	24648
442	19557	24590
443	19586	24527
444	19613	24462
445	19640	24396
446	19666	24330
447	19694	24266
448	19716	24195
449	19743	24131
450	19771	24067
451	19797	24002
452	19827	23942
453	19861	23885
454	19886	23820
455	19916	23760
456	19947	23701
457	19976	23639
458	20000	23573
459	20028	23512
460	20058	23452
461	20083	23387
462	20110	23324
463	20141	23266
464	20177	23214
465	20201	23149
466	20232	23092
467	20262	23033
468	20288	22970
469	20317	22911
470	20345	22851
471	20381	22799
472	20410	22740
473	20435	22677
474	20462	22616
475	20489	22556
476	20518	22497
477	20542	22433
478	20569	22373
479	20594	22310
480	20624	22253
481	20654	22196
482	20680	22135
483	20710	22079
484	20740	22023
485	20768	21964
486	20799	21910
487	20826	21850
488	20852	21790
489	20882	21734
490	20913	21680
491	20943	21624
492	20969	21565
493	21000	21510
494	21028	21453
495	21059	21398
496	21083	21337
497	21112	21282
498	21141	21226
499	21171	21171
500	21207	21122
501	21233	21064
502	21266	21012
503	21305	20967
504	21335	20912
505	21359	20853
506	21391	20801
507	21417	20743
508	21445	20687
509	21476	20634
510	21503	20577
511	21527	20518
512	21555	20462
513	21578	20403
514	21606	20347
515	21629	20288
516	21655	20231
517	21681	20174
518	21708	20119
519	21735	20063
520	21760	20006
521	21792	19955
522	21818	19899
523	21844	19843
524	21877	19793
525	21910	19744
526	21936	19688
527	21960	19631
528	21987	19576
529	22017	19525
530	22049	19475
531	22075	19419
532	22102	19365
533	22132	19313
534	22156	19257
535	22185	19205
536	22217	19156
537	22248	19105
538	22274	19050
539	22305	19001
540	22331	18946
541	22366	18899
542	22396	18849
543	22422	18795
544	22453	18745
545	22481	18693
546	22510	18642
547	22543	18593
548	22575	18545
549	22604	18494
550	22630	18441
551	22658	18389
552	22699	18348
553	22726	18296
554	22754	18244
555	22780	18191
556	22815	18145
557	22845	18096
558	22879	18049
559	22913	18003
560	22941	17952
561	22965	17898
562	22996	17850
563	23025	17800
564	23053	17749
565	23084	17700
566	23119	17655
567	23151	17608
568	23182	17559
569	23217	17515
570	23257	17473
571	23291	17428
572	23321	17378
573	23350	17329
574	23387	17286
575	23417	17237
576	23446	17188
577	23480	17143
578	23506	17092
579	23542	17048
580	23575	17001
581	23610	16957
582	23649	16915
583	23687	16873
584	23722	16828
585	23759	16785
586	23795	16742
587	23829	16696
588	23868	16654
589	23905	16612
590	23945	16571
591	23971	16521
592	23999	16471
593	24033	16426
594	24061	16378
595	24091	16330
596	24124	16285
597	24158	16240
598	24191	16194
599	24224	16149
600	24266	16110
601	24299	16065
602	24338	16023
603	24398	15996
604	24438	15955
605	24483	15918
606	24524	15878
607	24565	15838
608	24607	15798
609	24649	15759
610	24689	15719
611	24728	15677
612	24769	15637
613	24809	15596
614	24848	15555
615	24890	15515
616	24924	15471
617	24955	15425
618	24998	15386
619	25038	15346
620	25069	15299
621	25104	15256
622	25132	15208
623	25168	15165
624	25201	15120
625	25231	15074
626	25284	15041
627	25327	15003
628	25364	14960
629	25403	14919
630	25434	14873
631	25470	14830
632	25506	14787
633	25540	14744
634	25580	14703
635	25637	14673
636	25703	14647
637	25769	14621
638	25843	14600
639	25908	14573
640	25979	14549
641	26034	14517
642	26078	14478
643	26119	14438
644	26167	14402
645	26199	14357
646	26230	14311
647	26269	14269
648	26322	14236
649	26354	14190
650	26380	14142
651	26421	14102
652	26457	14059
653	26498	14018
654	26544	13981
655	26580	13938
656	26616	13895
657	26656	13855
658	26690	13811
659	26725	13767
660	26759	13723
661	26790	13678
662	26837	13641
663	26874	13599
664	26901	13551
665	26930	13505
666	26957	13458
667	26989	13414
668	27020	13368
669	27048	13322
670	27081	13278
671	27104	13229
672	27132	13183
673	27163	13138
674	27194	13093
675	27222	13047
676	27253	13002
677	27278	12955
678	27317	12914
679	27351	12871
680	27386	12828
681	27418	12784
682	27446	12738
683	27480	12695
684	27513	12652
685	27544	12607
686	27575	12563
687	27602	12517
688	27638	12475
689	27669	12431
690	27697	12385
691	27724	12339
692	27755	12295
693	27784	12250
694	27814	12206
695	27842	12160
696	27875	12118
697	27904	12073
698	27931	12027
699	27961	11983
700	27989	11938
701	28014	11892
702	28046	11848
703	28074	11804
704	28103	11759
705	28130	11714
706	28160	11670
707	28190	11626
708	28221	11583
709	28249	11538
710	28283	11496
711	28308	11450
712	28341	11408
713	28373	11365
714	28401	11320
715	28434	11278
716	28472	11237
717	28501	11194
718	28533	11151
719	28564	11108
720	28590	11063
721	28624	11021
722	28652	10977
723	28679	10932
724	28706	10888
725	28742	10847
726	28768	10803
727	28794	10758
728	28827	10716
729	28854	10672
730	28886	10629
731	28916	10586
732	28948	10544
733	28978	10501
734	29006	10457
735	29034	10414
736	29063	10371
737	29091	10327
738	29118	10284
739	29146	10240
740	29177	10198
741	29206	10155
742	29233	10111
743	29261	10068
744	29291	10025
745	29322	9983
746	29349	9940
747	29392	9902
748	29420	9859
749	29452	9817
750	29486	9776
751	29522	9736
752	29553	9694
753	29582	9651
754	29619	9611
755	29650	9569
756	29673	9525
757	29703	9483
758	29738	9442
759	29767	9400
760	29794	9357
761	29825	9315
762	29863	9276
763	29893	9234
764	29926	9193
765	29972	9155
766	30001	9113
767	30038	9074
768	30070	9032
769	30098	8990
770	30129	8949
771	30158	8906
772	30181	8863
773	30203	8819
774	30229	8776
775	30254	8733
776	30291	8693
777	30317	8651
778	30345	8608
779	30376	8567
780	30415	8528
781	30444	8487
782	30474	8445
783	30500	8403
784	30527	8360
785	30563	8321
786	30597	8281
787	30626	8239
788	30651	8197
789	30680	8155
790	30707	8113
791	30740	8073
792	30770	8032
793	30799	7990
794	30838	7952
795	30863	7909
796	30894	7869
797	30924	7828
798	30954	7787
799	30985	7746
800	31017	7706
801	31050	7665
802	31077	7624
803	31105	7583
804	31136	7542
805	31169	7502
806	31199	7461
807	31224	7419
808	31254	7378
809	31285	7338
810	31314	7297
811	31342	7256
812	31370	7215
813	31404	7175
814	31437	7136
815	31466	7095
816	31491	7053
817	31518	7012
818	31544	6971
819	31570	6930
820	31592	6888
821	31616	6846
822	31640	6804
823	31665	6763
824	31689	6722
825	31714	6680
826	31737	6639
827	31768	6599
828	31792	6557
829	31815	6516
830	31849	6477
831	31880	6437
832	31910	6397
833	31934	6356
834	31966	6316
835	31992	6276
836	32021	6235
837	32047	6195
838	32071	6154
839	32102	6114
840	32129	6074
841	32151	6033
842	32175	5992
843	32198	5951
844	32224	5910
845	32249	5870
846	32274	5830
847	32299	5789
848	32325	5749
849	32349	5708
850	32374	5668
851	32396	5627
852	32420	5587
853	32446	5546
854	32492	5510
855	32526	5471
856	32571	5434
857	32617	5398
858	32671	5362
859	32708	5324
860	32756	5288
861	32812	5253
862	32903	5223
863	32977	5190
864	33023	5154
865	33052	5114
866	33095	5076
867	33131	5038
868	33172	5000
869	33214	4963
870	33264	4926
871	33501	4917
872	33752	4910
873	33874	4883
874	33947	4849
875	34076	4823
876	34207	4797
877	34421	4782
878	34761	4785
879	35009	4774
880	35110	4742
881	35224	4712
882	35306	4678
883	35383	4643
884	35501	4613
885	35633	4584
886	35789	4559
887	35853	4522
888	35935	4486
889	35979	4446
890	36017	4406
891	36052	4365
892	36083	4323
893	36118	4282
894	36158	4242
895	36190	4200
896	36220	4159
897	36255	4118
898	36283	4076
899	36317	4035
900	36350	3994
901	36384	3953
902	36416	3911
903	36451	3871
904	36481	3829
905	36511	3788
906	36549	3747
907	36592	3707
908	36624	3666
909	36657	3625
910	36694	3584
911	36728	3543
912	36763	3503
913	36804	3463
914	36841	3422
915	36878	3381
916	36914	3341
917	36948	3300
918	36985	3259
919	37023	3219
920	37056	3178
921	37091	3137
922	37143	3098
923	37188	3058
924	37228	3018
925	37266	2978
926	37300	2937
927	37340	2897
928	37369	2856
929	37405	2815
930	37441	2774
931	37484	2734
932	37515	2694
933	37556	2653
934	37594	2613
935	37642	2573
936	37687	2533
937	37728	2493
938	37773	2453
939	37864	2416
940	37926	2377
941	37979	2338
942	38009	2297
943	38046	2256
944	38097	2217
945	38149	2177
946	38212	2138
947	38255	2098
948	38302	2058
949	38344	2018
950	38384	1977
951	38426	1937
952	38457	1896
953	38487	1855
954	38529	1815
955	38567	1775
956	38609	1734
957	38660	1694
958	38706	1654
959	38743	1614
960	38777	1573
961	38819	1533
962	38850	1492
963	38892	1452
964	38934	1412
965	38978	1371
966	39013	1331
967	39042	1290
968	39078	1250
969	39114	1209
970	39145	1169
971	39182	1128
972	39211	1088
973	39245	1047
