iter	Logloss
0	0.6894539099
1	0.6856504496
2	0.6817494127
3	0.6780283653
4	0.6747858532
5	0.6711175795
6	0.6678893043
7	0.6644350363
8	0.6610295705
9	0.657691808
10	0.6544318765
11	0.6511705256
12	0.6480744295
13	0.6450063264
14	0.6420410255
15	0.6388994032
16	0.6361543249
17	0.6333512063
18	0.6306937255
19	0.6281400808
20	0.625459703
21	0.6228375699
22	0.6204320869
23	0.6181249897
24	0.6157482641
25	0.6134517357
26	0.6111564317
27	0.608905875
28	0.6067688383
29	0.605059868
30	0.6030194464
31	0.6010727499
32	0.5989530248
33	0.5968783642
34	0.5954082062
35	0.5935810517
36	0.5922039319
37	0.5902089924
38	0.588507562
39	0.5871192925
40	0.5855449761
41	0.5838786718
42	0.582368454
43	0.580646621
44	0.57914106
45	0.5775425143
46	0.5758650635
47	0.5744144391
48	0.5729125739
49	0.5715315566
50	0.570147349
51	0.5688844699
52	0.5676141693
53	0.5663221536
54	0.5650114191
55	0.5636863481
56	0.5624559971
57	0.5611764269
58	0.5602940487
59	0.5591016449
60	0.5580728415
61	0.5569910691
62	0.5557921693
63	0.5548171052
64	0.553885416
65	0.5528758367
66	0.5519866224
67	0.5510048097
68	0.5499295698
69	0.5490162007
70	0.5482299605
71	0.5474014669
72	0.5466960308
73	0.545970498
74	0.5451133441
75	0.5442100785
76	0.5432779245
77	0.5426606601
78	0.5417820545
79	0.5408654355
80	0.5401569072
81	0.5394069059
82	0.538613427
83	0.5379254506
84	0.5374208418
85	0.5366604727
86	0.5359448604
87	0.5352256359
88	0.5345895338
89	0.5339037484
90	0.5334001404
91	0.5327709765
92	0.532069489
93	0.5315505474
94	0.5309079628
95	0.5303376417
96	0.5298363472
97	0.5294189167
98	0.5288799558
99	0.5283000063
100	0.5278995035
101	0.5273417747
102	0.5269133473
103	0.5264070242
104	0.5260266862
105	0.5254753489
106	0.5250852752
107	0.5246016991
108	0.5240645057
109	0.5237042702
110	0.5232245766
111	0.5228684602
112	0.5224509819
113	0.5219543008
114	0.5215594422
115	0.5211277891
116	0.5207772557
117	0.5202845099
118	0.5200459762
119	0.5196457115
120	0.5191573361
121	0.5187449337
122	0.5182028353
123	0.5178339948
124	0.5173941783
125	0.5171478648
126	0.5167540901
127	0.5163143827
128	0.5159354579
129	0.5156772353
130	0.5153903718
131	0.5149924162
132	0.5145841862
133	0.5141950956
134	0.5137931634
135	0.5135340693
136	0.5132259157
137	0.5129462432
138	0.5126279032
139	0.5123715583
140	0.5119817252
141	0.5116412945
142	0.5114275714
143	0.5111560663
144	0.5108257177
145	0.5105653083
146	0.5103020893
147	0.5100994731
148	0.509784747
149	0.5094898993
150	0.5092305771
151	0.5090177019
152	0.5088026393
153	0.508562388
154	0.5081833162
155	0.507920239
156	0.5077361664
157	0.5074469908
158	0.5072145794
159	0.5069186905
160	0.506744399
161	0.5065802079
162	0.5063603596
163	0.5061713777
164	0.5059604722
165	0.5058136563
166	0.505649206
167	0.5054473227
168	0.5051915721
169	0.5048696605
170	0.5046987109
171	0.5044276115
172	0.504238726
173	0.504003973
174	0.5038211103
175	0.5034630653
176	0.5032820733
177	0.5031069441
178	0.5029080054
179	0.5026744578
180	0.5024762803
181	0.5023962148
182	0.5022312124
183	0.502058987
184	0.5018732926
185	0.501730189
186	0.5014660733
187	0.5012378803
188	0.5010528442
189	0.5008919154
190	0.5007588382
191	0.5005879633
192	0.5005062611
193	0.5003065109
194	0.500097022
195	0.4999046182
196	0.4997358352
197	0.4996334729
198	0.4993955466
199	0.4992413815
