iter	Passed	Remaining
0	18	18074
1	68	34065
2	235	78114
3	303	75641
4	357	71179
5	382	63289
6	394	55954
7	406	50383
8	414	45685
9	428	42400
10	447	40275
11	459	37849
12	473	35927
13	486	34278
14	495	32548
15	507	31207
16	519	30021
17	533	29126
18	574	29672
19	592	29050
20	624	29107
21	671	29857
22	690	29336
23	708	28826
24	728	28393
25	741	27785
26	755	27240
27	770	26753
28	856	28690
29	926	29960
30	1081	33795
31	1217	36843
32	1259	36913
33	1383	39305
34	1442	39779
35	1909	51145
36	1985	51669
37	2013	50985
38	2033	50118
39	2062	49496
40	2099	49101
41	2131	48613
42	2202	49028
43	2284	49643
44	2417	51294
45	2645	54867
46	2684	54422
47	2717	53890
48	2733	53052
49	2765	52546
50	2809	52287
51	2836	51707
52	2847	50872
53	2969	52021
54	3010	51733
55	3036	51186
56	3100	51290
57	3132	50882
58	3230	51516
59	3307	51811
60	3330	51262
61	3346	50629
62	3360	49988
63	3375	49361
64	3407	49017
65	3429	48537
66	3447	48005
67	3462	47455
68	3475	46897
69	3487	46332
70	3501	45811
71	3514	45298
72	3526	44787
73	3539	44296
74	3552	43815
75	3574	43455
76	3610	43283
77	3645	43088
78	3672	42819
79	3690	42436
80	3703	42020
81	3714	41589
82	3723	41141
83	3737	40753
84	3754	40419
85	3771	40082
86	3785	39725
87	3799	39376
88	3813	39038
89	3834	38776
90	3851	38469
91	3866	38164
92	3901	38054
93	3929	37872
94	3939	37532
95	3955	37248
96	3971	36968
97	3986	36692
98	4050	36862
99	4076	36687
100	4093	36436
101	4111	36197
102	4144	36097
103	4165	35887
104	4198	35789
105	4231	35687
106	4258	35543
107	4275	35311
108	4291	35077
109	4307	34849
110	4326	34651
111	4356	34537
112	4395	34500
113	4438	34498
114	4491	34564
115	4521	34456
116	4548	34327
117	4578	34224
118	4589	33974
119	4603	33762
120	4617	33540
121	4628	33310
122	4638	33074
123	4650	32851
124	4661	32633
125	4672	32408
126	4687	32218
127	4698	32009
128	4709	31797
129	4718	31575
130	4734	31407
131	4748	31227
132	4779	31156
133	4810	31090
134	4833	30971
135	4867	30921
136	4959	31241
137	4994	31200
138	5021	31106
139	5043	30984
140	5097	31053
141	5215	31514
142	5237	31390
143	5254	31236
144	5265	31049
145	5295	30977
146	5312	30827
147	5334	30707
148	5351	30563
149	5359	30371
150	5373	30214
151	5391	30080
152	5403	29915
153	5412	29734
154	5436	29638
155	5447	29470
156	5460	29320
157	5472	29164
158	5488	29032
159	5505	28901
160	5520	28770
161	5540	28658
162	5586	28688
163	5605	28572
164	5622	28454
165	5639	28331
166	5655	28210
167	5668	28073
168	5681	27935
169	5689	27780
170	5698	27626
171	5709	27486
172	5717	27333
173	5732	27214
174	5743	27076
175	5757	26954
176	5769	26824
177	5781	26698
178	5792	26566
179	5800	26425
180	5811	26294
181	5833	26218
182	5857	26152
183	5872	26043
184	5880	25905
185	5890	25777
186	5897	25640
187	5909	25524
188	5921	25411
189	5929	25277
190	5940	25161
191	5953	25054
192	5961	24926
193	5972	24814
194	5980	24689
195	5989	24567
196	5999	24454
197	6008	24336
198	6019	24228
199	6035	24142
200	6052	24060
201	6063	23951
202	6076	23857
203	6089	23762
204	6109	23691
205	6138	23658
206	6152	23568
207	6197	23598
208	6300	23845
209	6340	23853
210	6520	24381
211	6871	25542
212	6972	25763
213	7109	26111
214	7137	26060
215	7155	25973
216	7166	25858
217	7177	25745
218	7194	25657
219	7221	25604
220	7233	25496
221	7257	25435
222	7290	25400
223	7328	25388
224	7340	25282
225	7351	25178
226	7360	25063
227	7372	24963
228	7410	24950
229	7470	25010
230	7525	25053
231	7549	24992
232	7570	24919
233	7588	24841
234	7606	24761
235	7620	24668
236	7635	24581
237	7643	24472
238	7654	24374
239	7667	24279
240	7685	24203
241	7701	24121
242	7709	24016
243	7731	23954
244	7755	23898
245	7766	23804
246	7783	23727
247	7803	23662
248	7814	23570
249	7824	23474
250	7848	23420
251	7893	23428
252	7920	23386
253	7931	23293
254	7942	23203
255	7952	23113
256	7966	23030
257	7977	22942
258	8016	22935
259	8034	22867
260	8051	22795
261	8085	22774
262	8101	22703
263	8131	22670
264	8211	22775
265	8247	22758
266	8259	22675
267	8286	22633
268	8295	22542
269	8310	22469
270	8320	22382
271	8337	22315
272	8353	22245
273	8383	22213
274	8416	22187
275	8439	22139
276	8457	22075
277	8469	21995
278	8483	21922
279	8495	21845
280	8503	21758
281	8518	21689
282	8537	21630
283	8554	21566
284	8570	21501
285	8597	21464
286	8613	21398
287	8625	21324
288	8663	21313
289	8727	21367
290	8757	21336
291	8810	21361
292	8843	21338
293	8865	21289
294	8881	21225
295	8897	21162
296	8909	21088
297	8926	21028
298	8981	21056
299	9000	21000
300	9017	20941
301	9047	20911
302	9063	20848
303	9074	20776
304	9093	20720
305	9120	20684
306	9173	20707
307	9207	20687
308	9228	20636
309	9259	20610
310	9283	20567
311	9292	20491
312	9311	20438
313	9338	20402
314	9362	20359
315	9374	20291
316	9398	20249
317	9430	20224
318	9444	20163
319	9463	20109
320	9480	20054
321	9495	19993
322	9515	19944
323	9526	19876
324	9535	19804
325	9546	19736
326	9564	19685
327	9582	19631
328	9627	19635
329	9659	19612
330	9734	19675
331	9774	19666
332	9805	19640
333	10081	20103
334	10110	20070
335	10130	20018
336	10155	19980
337	10167	19914
338	10179	19848
339	10191	19782
340	10204	19721
341	10214	19653
342	10234	19603
343	10243	19534
344	10260	19479
345	10271	19415
346	10286	19358
347	10304	19306
348	10347	19301
349	10388	19292
350	10439	19301
351	10470	19276
352	10486	19219
353	10506	19172
354	10585	19232
355	10602	19179
356	10615	19119
357	10624	19052
358	10633	18985
359	10644	18923
360	10652	18856
361	10663	18793
362	10672	18727
363	10689	18676
364	10715	18642
365	10732	18591
366	10751	18544
367	10763	18485
368	10774	18423
369	10781	18358
370	10794	18301
371	10807	18244
372	10816	18181
373	10827	18123
374	10843	18073
375	10869	18039
376	10883	17984
377	10906	17946
378	10940	17926
379	10957	17878
380	10969	17822
381	10979	17762
382	10992	17708
383	11005	17655
384	11028	17617
385	11048	17575
386	11058	17517
387	11072	17464
388	11084	17410
389	11094	17352
390	11112	17308
391	11121	17250
392	11132	17194
393	11140	17134
394	11157	17089
395	11187	17064
396	11207	17022
397	11219	16970
398	11233	16919
399	11242	16864
400	11251	16807
401	11267	16760
402	11324	16775
403	11381	16789
404	11403	16754
405	11435	16731
406	11447	16679
407	11464	16635
408	11483	16593
409	11497	16545
410	11518	16507
411	11581	16528
412	11598	16484
413	11609	16433
414	11620	16380
415	11630	16327
416	11640	16274
417	11649	16219
418	11659	16167
419	11676	16124
420	11747	16156
421	11810	16175
422	11830	16137
423	11859	16110
424	11885	16080
425	11974	16135
426	12010	16116
427	12052	16107
428	12126	16140
429	12155	16113
430	12170	16066
431	12188	16025
432	12213	15992
433	12234	15956
434	12265	15931
435	12305	15918
436	12343	15901
437	12370	15872
438	12386	15829
439	12404	15788
440	12428	15754
441	12442	15707
442	12539	15766
443	12577	15750
444	12592	15705
445	12615	15670
446	12643	15641
447	12664	15604
448	12677	15557
449	12694	15515
450	12703	15463
451	12713	15414
452	12724	15364
453	12743	15325
454	12757	15281
455	12766	15230
456	12784	15189
457	12804	15153
458	12825	15116
459	12833	15065
460	12843	15017
461	12857	14972
462	12873	14930
463	12891	14891
464	12910	14853
465	12924	14810
466	12943	14772
467	12963	14736
468	12978	14693
469	12996	14656
470	13014	14616
471	13023	14569
472	13037	14526
473	13060	14493
474	13108	14488
475	13128	14452
476	13141	14408
477	13154	14365
478	13166	14321
479	13176	14275
480	13190	14232
481	13202	14188
482	13215	14146
483	13227	14101
484	13273	14094
485	13308	14075
486	13335	14047
487	13354	14011
488	13373	13974
489	13390	13937
490	13404	13895
491	13446	13883
492	13456	13838
493	13473	13800
494	13488	13761
495	13506	13724
496	13522	13685
497	13537	13645
498	13554	13608
499	13566	13566
500	13579	13525
501	13588	13479
502	13600	13437
503	13610	13394
504	13619	13349
505	13633	13309
506	13655	13278
507	13666	13235
508	13682	13198
509	13698	13161
510	13710	13119
511	13719	13076
512	13734	13038
513	13746	12997
514	13757	12955
515	13766	12912
516	13783	12876
517	13794	12835
518	13807	12796
519	13815	12753
520	13827	12713
521	13842	12675
522	13862	12643
523	13879	12608
524	13893	12569
525	13904	12529
526	13912	12487
527	13923	12446
528	13936	12408
529	13954	12374
530	13993	12359
531	14004	12319
532	14013	12278
533	14023	12237
534	14035	12198
535	14043	12157
536	14054	12118
537	14067	12080
538	14088	12049
539	14110	12019
540	14123	11982
541	14141	11950
542	14170	11926
543	14189	11894
544	14208	11862
545	14221	11825
546	14234	11788
547	14248	11752
548	14258	11713
549	14280	11684
550	14298	11651
551	14313	11616
552	14322	11577
553	14350	11552
554	14368	11520
555	14382	11485
556	14431	11477
557	14460	11454
558	14486	11428
559	14514	11404
560	14531	11371
561	14546	11336
562	14561	11302
563	14574	11266
564	14585	11229
565	14622	11212
566	14668	11201
567	14687	11170
568	14705	11138
569	14718	11103
570	14734	11070
571	14743	11031
572	14756	10996
573	14774	10965
574	14792	10933
575	14818	10908
576	14835	10876
577	14851	10843
578	14860	10805
579	14869	10767
580	14878	10729
581	14887	10692
582	14900	10657
583	14911	10621
584	14922	10585
585	14933	10550
586	14951	10519
587	14971	10489
588	14988	10458
589	14999	10423
590	15010	10387
591	15028	10357
592	15044	10325
593	15060	10293
594	15068	10256
595	15078	10221
596	15088	10185
597	15097	10148
598	15107	10113
599	15115	10077
600	15128	10043
601	15148	10014
602	15164	9983
603	15174	9949
604	15183	9913
605	15194	9878
606	15212	9849
607	15229	9818
608	15241	9785
609	15262	9758
610	15282	9729
611	15294	9696
612	15331	9679
613	15375	9665
614	15395	9637
615	15410	9606
616	15432	9579
617	15461	9557
618	15479	9527
619	15497	9498
620	15527	9476
621	15550	9450
622	15569	9421
623	15587	9392
624	15601	9361
625	15611	9326
626	15626	9296
627	15657	9275
628	15678	9247
629	15697	9219
630	15716	9190
631	15739	9164
632	15754	9134
633	15769	9103
634	15785	9073
635	15809	9048
636	15842	9027
637	15862	9000
638	15872	8967
639	15895	8941
640	15936	8925
641	15959	8899
642	15970	8867
643	15985	8836
644	15999	8805
645	16016	8776
646	16029	8745
647	16046	8716
648	16057	8684
649	16066	8651
650	16077	8618
651	16093	8589
652	16128	8570
653	16156	8547
654	16166	8515
655	16177	8483
656	16191	8452
657	16199	8419
658	16212	8389
659	16255	8373
660	16280	8349
661	16307	8326
662	16324	8297
663	16342	8269
664	16355	8239
665	16368	8208
666	16384	8179
667	16410	8155
668	16444	8136
669	16476	8115
670	16510	8095
671	16538	8072
672	16553	8043
673	16573	8016
674	16587	7986
675	16612	7962
676	16634	7936
677	16671	7917
678	16686	7888
679	16710	7863
680	16730	7836
681	16741	7806
682	16749	7774
683	16762	7744
684	16774	7713
685	16783	7682
686	16799	7653
687	16828	7631
688	16843	7602
689	16855	7572
690	16865	7541
691	16878	7512
692	16889	7482
693	16970	7482
694	17029	7473
695	17163	7496
696	17236	7493
697	17448	7549
698	17484	7529
699	17520	7508
700	17555	7488
701	17577	7461
702	17601	7436
703	17617	7407
704	17632	7378
705	17652	7351
706	17683	7328
707	17711	7304
708	17746	7283
709	17798	7269
710	17812	7240
711	17830	7212
712	17842	7181
713	17852	7150
714	17867	7121
715	17883	7093
716	17898	7064
717	17944	7047
718	17963	7020
719	17983	6993
720	18030	6977
721	18043	6947
722	18066	6921
723	18079	6892
724	18090	6862
725	18110	6835
726	18127	6807
727	18142	6778
728	18154	6748
729	18174	6722
730	18194	6695
731	18206	6665
732	18219	6636
733	18232	6607
734	18269	6587
735	18308	6567
736	18330	6541
737	18344	6512
738	18368	6487
739	18388	6460
740	18406	6433
741	18424	6406
742	18487	6394
743	18504	6367
744	18518	6338
745	18533	6310
746	18546	6281
747	18566	6254
748	18586	6228
749	18600	6200
750	18614	6171
751	18625	6142
752	18635	6112
753	18663	6089
754	18720	6074
755	18744	6049
756	18760	6022
757	18851	6018
758	18881	5995
759	18901	5968
760	18932	5945
761	18948	5918
762	18971	5892
763	19005	5870
764	19036	5847
765	19062	5823
766	19074	5794
767	19092	5767
768	19103	5738
769	19114	5709
770	19125	5680
771	19137	5651
772	19169	5629
773	19189	5603
774	19202	5574
775	19213	5546
776	19222	5516
777	19237	5489
778	19249	5461
779	19259	5432
780	19296	5410
781	19330	5388
782	19343	5360
783	19369	5336
784	19387	5309
785	19400	5281
786	19413	5254
787	19428	5227
788	19451	5201
789	19463	5173
790	19508	5154
791	19536	5130
792	19559	5105
793	19595	5083
794	19610	5056
795	19624	5029
796	19637	5001
797	19647	4973
798	19662	4946
799	19697	4924
800	19714	4897
801	19737	4872
802	19757	4847
803	19789	4824
804	19809	4798
805	19827	4772
806	19870	4752
807	19888	4725
808	19903	4699
809	19919	4672
810	19973	4654
811	20010	4632
812	20075	4617
813	20107	4594
814	20190	4583
815	20207	4556
816	20232	4531
817	20256	4506
818	20267	4479
819	20297	4455
820	20349	4436
821	20363	4409
822	20384	4384
823	20402	4357
824	20424	4332
825	20442	4306
826	20462	4280
827	20485	4255
828	20505	4229
829	20521	4203
830	20535	4176
831	20545	4148
832	20569	4123
833	20593	4099
834	20619	4074
835	20647	4050
836	20658	4023
837	20688	3999
838	20736	3979
839	20760	3954
840	20795	3931
841	20821	3907
842	20845	3882
843	20892	3861
844	20936	3840
845	20951	3813
846	20979	3789
847	20997	3763
848	21011	3736
849	21047	3714
850	21114	3696
851	21140	3672
852	21151	3645
853	21166	3618
854	21192	3594
855	21231	3571
856	21250	3545
857	21262	3519
858	21277	3492
859	21291	3466
860	21303	3439
861	21311	3411
862	21324	3385
863	21342	3359
864	21359	3333
865	21372	3307
866	21389	3281
867	21425	3258
868	21445	3232
869	21457	3206
870	21471	3180
871	21487	3154
872	21502	3128
873	21510	3101
874	21523	3074
875	21533	3048
876	21542	3021
877	21553	2994
878	21569	2969
879	21630	2949
880	21640	2923
881	21651	2896
882	21663	2870
883	21680	2844
884	21692	2818
885	21705	2792
886	21719	2767
887	21730	2740
888	21739	2714
889	21749	2688
890	21760	2662
891	21770	2635
892	21784	2610
893	21810	2586
894	21821	2560
895	21837	2534
896	21847	2508
897	21860	2483
898	21875	2457
899	21886	2431
900	21897	2406
901	21910	2380
902	21923	2354
903	21938	2329
904	21948	2304
905	21965	2279
906	21977	2253
907	21990	2228
908	21999	2202
909	22029	2178
910	22056	2154
911	22079	2130
912	22096	2105
913	22109	2080
914	22190	2061
915	22259	2041
916	22421	2029
917	22591	2017
918	23158	2041
919	23190	2016
920	23210	1990
921	23222	1964
922	23246	1939
923	23275	1914
924	23301	1889
925	23325	1864
926	23344	1838
927	23370	1813
928	23415	1789
929	23446	1764
930	23483	1740
931	23562	1719
932	23614	1695
933	23637	1670
934	23682	1646
935	23735	1622
936	24045	1616
937	24186	1598
938	24228	1573
939	24537	1566
940	24695	1548
941	24832	1528
942	24970	1509
943	25056	1486
944	25090	1460
945	25109	1433
946	25141	1407
947	25227	1383
948	25262	1357
949	25272	1330
950	25283	1302
951	25431	1282
952	25552	1260
953	25598	1234
954	25625	1207
955	25647	1180
956	25665	1153
957	25684	1126
958	25697	1098
959	25722	1071
960	25745	1044
961	25761	1017
962	25841	992
963	25981	970
964	26046	944
965	26080	917
966	26138	892
967	26317	869
968	26337	842
969	26357	815
970	26374	787
971	26395	760
972	26409	732
973	26428	705
974	26443	678
975	26455	650
976	26466	623
977	26477	595
978	26487	568
979	26498	540
980	26506	513
981	26516	486
982	26524	458
983	26534	431
984	26542	404
985	26570	377
986	26592	350
987	26600	323
988	26613	296
989	26626	268
990	26638	241
991	26650	214
992	26666	187
993	26682	161
994	26696	134
995	26708	107
996	26717	80
997	26728	53
998	26738	26
999	26746	0
